article link,article headline,article text,date,author,summary,summary_time_seconds
https://www.brecorder.com/news/40402655/illegal-tax-refund-probe-lhc-disposes-of-fbr-pleas-against-fia,Illegal tax refund probe: LHC disposes of FBR pleas against FIA - Business Recorder,"ISLAMABAD: Writ petitions filed by the Federal Board of Revenue (FBR) against the Federal Investigation Agency (FIA) for an inquiry into “illegal tax refunds” issued by the officers of LTO Lahore, have been disposed of by the Lahore High Court (LHC) and settled inter-departmental accountability and taxpayer confidentiality.
Justice Tariq Saleem Sheikh, firmly declined to exercise constitutional jurisdiction under Article 199, holding that disputes between attached departments of the Federal Government must first resolve through the consultative mechanism prescribed under Rule 8(2) of the Rules of Business, 1973, ultimately falling within the domain of the Prime Minister.Notably, the LHC emphasised that the dispute between FBR (Revenue Division) and FIA (Interior Division) is a classic inter-divisional conflict, constitutionally required to be resolved through ministerial consultation and, if needed, submission to the Prime Minister or Cabinet. Judicial intervention, the Court warned, should not convert into the “Federation litigating against itself.”
The case stemmed from Enquiry No E-77/2024, in which FIA officials issued multiple notices under the FIA Act, CrPC and AMLA, demanding production of five years’ confidential income and sales tax refund records of LTO Lahore. Despite repeated objections by FBR citing section 216 of the Income Tax Ordinance, 2001, the FIA went a step further and raided LTO Lahore on 23.07.2024, forcibly seizing records under a magistrate-issued search warrant.
While declining relief on procedural grounds, the LHJC made several critical observations that FIA Act does not enjoy overriding supremacy over fiscal statutes, unlike NAB laws.
Protection remains applicable unless offences under FIA’s own statutory mandate are clearly made out. Fishing expeditions into taxpayer data violate the legislative scheme of tax administration, it added.
Copyright Business Recorder, 2026","Sat, 17 Jan 2026 02:32:58 GMT",,"The Lahore High Court (LHC) settled inter-departmental accountability and taxpayer confidentiality. Justice Tariq Saleem Sheikh, firmly declined to exercise constitutional jurisdiction under Article 199. Judicial intervention, the Court warned, should not convert into the “Federation litigating against itself”",2.106340169906616
https://www.brecorder.com/news/40403034/wilfully-undermining-sc-authority-fto-takes-serious-exception-to-fbr-official-conduct,‘Wilfully undermining SC authority’: FTO takes serious exception to FBR official conduct - Business Recorder,,"Tue, 20 Jan 2026 01:04:00 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1451420783996582
https://www.brecorder.com/news/40402780,‘Shadow economy’ primary hurdle for economic recovery - Business Recorder,,"Sat, 17 Jan 2026 22:26:59 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1224770545959473
https://www.brecorder.com/news/40402892/fbr-set-to-deploy-track-amp-trace-system-to-many-high-risk-sectors,FBR set to deploy Track & Trace System to many ‘high-risk’ sectors - Business Recorder,,"Mon, 19 Jan 2026 00:15:31 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1482257843017578
https://www.brecorder.com/news/40403053/fcc-urged-to-rule-charge-applicable-to-each-block-must-be-governed-by-law-in-force-on-last-day,FCC urged to rule: Charge applicable to each ‘block’ must be governed by law in force on last day - Business Recorder,,"Tue, 20 Jan 2026 01:04:00 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1313049793243408
https://www.brecorder.com/news/40402705/customs-enforcement-quetta-seizes-smuggled-goods-narcotics-worth-rs51530mn,"Customs Enforcement Quetta seizes smuggled goods, narcotics worth Rs515.30mn - Business Recorder",,"Sat, 17 Jan 2026 17:10:05 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1571121215820312
https://www.brecorder.com/news/40403051/shipping-lines-charging-rates-as-per-official-exchange-rates-fbr,Shipping lines charging rates as per official exchange rates: FBR - Business Recorder,"ISLAMABAD: The Federal Board of Revenue (FBR) has announced that the shipping lines are charging shipping fees strictly on the basis of exchange rates provided by their respective authorised commercial banks, in accordance with the State Bank of Pakistan (SBP) regulations.
According to the details issued by the FBR, Pakistan Customs has achieved a historic and industry-wide breakthrough by ensuring the application of official bank exchange rates for shipping charges, effectively ending the long-standing practice of arbitrary and excessive billing by international shipping lines.
The All Pakistan Shipping Association (APSA), through a formal communication has confirmed that all member shipping lines are now charging shipping fees strictly on the basis of exchange rates provided by their respective authorised commercial banks, in accordance with State Bank of Pakistan (SBP) regulations.
This decisive development follows sustained engagement by a high-level committee constituted by Pakistan Customs, which held extensive consultations with shipping agents, terminal operators, trade bodies, and international shipping lines. As a key milestone, Maersk — the largest shipping line operating in Pakistan and handling nearly 26 percent of the country’s total cargo — earlier began applying official bank exchange rates, setting a benchmark for the rest of the industry.
Written confirmations of compliance have been received from major international shipping lines and their local agents, including Hapag-Lloyd, Ocean Network Express (ONE), COSCO Shipping, CMA CGM, Mediterranean Shipping Company (MSC), OOCL, and United Marine Agencies, among others, establishing full industry-wide adherence to SBP-compliant exchange rates.
For several years, traders and exporters had raised serious concerns regarding the arbitrary application of inflated dollar exchange rates by shipping lines, often far exceeding SBP-notified rates. This practice significantly increased the cost of doing business, adversely impacted export competitiveness, and created uncertainty in shipping charges.
The initiative is expected to substantially reduce cost pressures on traders and exporters, improve transparency and predictability in shipping charges, and restore confidence within the business community.
This achievement underscores FBR’s firm commitment to safeguarding legitimate trade, promoting ease of doing business, and supporting Pakistan’s export-led economic growth through effective regulatory oversight and stakeholder engagement.
Copyright Business Recorder, 2026","Tue, 20 Jan 2026 01:04:00 GMT",,"Pakistan Customs has achieved a historic and industry-wide breakthrough by ensuring the application of official bank exchange rates for shipping charges. Maersk — the largest shipping line operating in Pakistan and handling nearly 26 percent of the country’s total The initiative is expected to substantially reduce cost pressures on traders and exporters, improve transparency and predictability in shipping charges, and restore confidence within the business community. FBR’s firm commitment to safeguarding legitimate trade.",2.3453619480133057
https://www.brecorder.com/news/40403632/na-passes-income-tax-ord-third-amend-bill-adr-mechanism-gets-a-boost,NA passes Income Tax Ord (Third Amend) Bill: ADR mechanism gets a boost - Business Recorder,,"Fri, 23 Jan 2026 00:48:09 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1707658767700195
https://www.brecorder.com/news/40403062/apple-samsung-google-new-customs-values-fixed-for-used-phones,"Apple, Samsung, Google: new customs values fixed for used phones - Business Recorder",,"Tue, 20 Jan 2026 01:04:00 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1459393501281738
https://www.brecorder.com/news/40403621/ministry-told-to-pick-reputable-names-fto-removes-overseas-advisers-at-foreign-tax-fields,Ministry told to pick reputable names: FTO removes overseas advisers at foreign tax fields - Business Recorder,"ISLAMABAD: The Federal Tax Ombudsman (FTO) has removed all overseas advisers at foreign tax jurisdictions and requested the Ministry of Foreign Affairs to identify reputable personalities for appointment of honorary advisers aboard.
Sources toldBusiness Recorderthat all honorary advisers of the FTO office have been removed from their current position. In this regard, the FTO office has written a letter to the Foreign Office for appointment of new honorary advisers.
In this regard, the FTO office is coordinating with the Foreign Office for identification of new advisers for resolution of tax disputes of overseas Pakistanis.
The FTO Secretariat has also written a letter to Foreign Minister Ishaq Dar on the said issue.
The new FTO M Zafar-ul-Haq Hijazi has also issued instructions to the FTO Secretariat that complaints of overseas Pakistanis against the Federal Board of Revenue (FBR) should be dealt with on a priority basis so that overseas Pakistanis do not have to face difficulties and delays.
Judicial Activism Panel (JAP) Chairman and International Constitutional Lawyer Muhammad Azhar Siddique had levelled allegations against such foreign appointments made in the past and accused the FTO of running a parallel, opaque appointment regime, appointing advisors in Canada, USA, UK, Sweden, Hong Kong, Finland, Spain and other European countries, with no evidence of advertisement, merit-based selection, or lawful authority.
Copyright Business Recorder, 2026","Fri, 23 Jan 2026 01:45:14 GMT",,The Federal Tax Ombudsman (FTO) has removed all overseas advisers at foreign tax jurisdictions. The FTO office has written a letter to the Foreign Office for appointment of new honorary advisers.,0.9621798992156982
https://www.brecorder.com/news/40402675/provincial-revenue-potential-largely-untapped-shehzad,Provincial revenue potential largely untapped: Shehzad - Business Recorder,,"Sat, 17 Jan 2026 00:51:32 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.153083086013794
https://www.brecorder.com/news/40403343/pakistan-economy-stabilised-set-for-export-led-growth-pm-shehbaz-at-davos,"Pakistan economy stabilised, set for export-led growth: PM Shehbaz at Davos - Business Recorder",,"Wed, 21 Jan 2026 18:30:39 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1483237743377686
https://www.brecorder.com/news/40403007,The investment drain - Business Recorder,,"Tue, 20 Jan 2026 01:04:00 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.0969300270080566
https://www.brecorder.com/news/40403027,Govt working on proposals to reduce industrial power tariff - Business Recorder,,"Tue, 20 Jan 2026 01:04:00 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1399829387664795
