article link,article headline,article text,date,author,keyword,summary,summary_time_seconds,is_relevant,relevance_score,relevance_label
https://www.brecorder.com/news/40403007/the-investment-drain,The investment drain - Business Recorder,"Pakistan is the 5th most populous country having 64 percent of its population under the age of 30. It is often being pitched as a land of opportunities. However, despite an expanding market, a youthful workforce and strategic location, the country has not been able to attract enough investment, whether domestic and foreign.
A lot of literature has highlighted various economic issues as the main culprits like interest rate, exchange rate, inflation, low economic growth, etc. but, there are some other issues, which are affecting investment adversely in the country. When other countries are moving upward, Pakistan’s investment is sliding downward.
Back in 1975, the investment to GDP ratio of Pakistan was approximately 17 percent. After 50 years, it has decreased to 13.1 percent, which is a serious concern and needs proper pondering of policy makers.
Beside weak domestic investment, the country’s performance of attracting FDI is also lackluster. Back in 1990s, Pakistan used to attract more FDIs than India, but the equation has flipped completely. For example, in 1992, Pakistan attracted USD 336.5 million in FDI, while India attracted only USD 276.5 million. Now the trajectory has completely changed; in 2024, Pakistan only managed USD 2.7 billion, while India attracted USD 27.1 billion, which is almost 13 times higher.
In 2022, India attracted USD 50 billion FDI, while Pakistan has just USD 1.46 billion. Why has this huge divergence occurred? Various initiatives were taken like the Board of Investment, One Window Operation, and most recently the establishment of SIFC, but to no avail. Simply, policies are not feasible to attract the investors.
For instance, take the corporate tax rate, which is extremely high and can reach 65 percent. An investor wants profit, not punishment for investing. The standard corporate base rate is 29 percent and reaches up to 44 percent for some sectors. Then there are 10 percent super tax, 2 percent worker welfare fund, and 5 percent worker participation fund, summing up to 50 percent.
Also add 15 percent income tax of the dividends; the tax rate reaches 65 percent. Why on the earth will someone invest with such a higher tax rate? Why an investor will not invest in Dubai where the corporate tax rate is only 9 percent when income is above a threshold otherwise 0 percent tax? However, this seems a small problem as compared to the other issues, which are discouraging investors.
The security situation is one of them. It has not improved for decades. The country ranked second on the Global Terrorism Index and the attacks are not receding. How is one supposed to invest in such situation? Even domestic investors have shifted their capital to safe havens.
Similarly, the law and order situation in the country is also forcing investors to move to safer avenues.
Political instability is another major hurdle. Political parties are after one another driven by vendetta and not by national interest. There is no long-term political vision for the betterment of the country.
Citizens witness strikes, lockdowns and closure of main roads for weeks, affecting businesses adversely. In developed democracies, there are consistencies of policy regardless whichever party is in the government. Regrettably, the case is different in Pakistan.
Likewise, regulatory burdens and red tape are another nightmare. Instead of facilitation, regulations are often used as a tool of control. Compliance is very time consuming. If someone wants to install an electricity or gas connection, he has to wait for months. If one wants faster service, then one has to grease the palm of the authorities.
Similarly, opening a bank account is a herculean task, providing endless documents like utility bills, proof of income and so on. Company registration takes even more long and hectic documentation. Why would someone put his hard earned money in a process full of hurdles? On top of that, repatriating money or profit is also a struggle.
The weak judicial system is often ignored while discussing the investment issue. A strong judicial system provides confidence to investors that his interest cannot be harmed by anyone. Pakistan judicial system is ranked 129 out of 142 on the World Justice Project. There is no quick mechanism for dispute resolution.
The courts are overburdened and inefficient having more than 2.3 million backlog of cases. A commercial dispute takes years and sometime even decades. If someone wants to trouble you, he will just file a fabricated case and it will take years to prove that there is nothing substantial behind it.
For many domestic investors, the fear of political victimization combined with the lack of judicial protection discourages them to invest.
Then there are issues of infrastructure and policy inconsistency. Investors face electricity and power outages along with very high cost. To cope, many businesses have installed solar for power generation and every year there is a debate to tax their own generation.
The lack of policy inconsistency makes the situation further exacerbated. Many investors fear that today’s rules will not survive the next budget. In such unpredictability, no one is ready to invest in the country.
To cut the long story short, if Pakistan wants high investment, it has to make some amends. Otherwise, increasing investment will be a far cry in the wilderness.
Pakistan must address its governance problem, improve its law and order situation, strengthen its judicial system, reduce bureaucratic hurdles, improve policy consistency and cool down the political temperature. Then it will boost the morale of investors to invest in the country. Instead of higher taxes, the country needs to incentivize investors so that productivity can rise. Without transparent tax system, regulatory regime, protection of rights, contract enforcement, sustainable macro policy and reliable infrastructure, Pakistan will be bypassed by the serious investors.
The country cannot afford the outflow of investors like the recent exit of Procter & Gamble (P&G), Shell, Telenor, Pfizer, Bayer, Total Energies, Uber, Careem, and Microsoft.
Copyright Business Recorder, 2026
Wajid Islam
The writer is a Research Economist at the Pakistan institute of development economics (PIDE), Islamabad. He can be reached via Email at:[email protected]","Tue, 20 Jan 2026 01:04:00 GMT",,tax to GDP ratio Pakistan,"Pakistan is the 5th most populous country having 64 percent of its population under the age of 30. Despite an expanding market, a youthful workforce and strategic location, the security situation in Pakistan has not improved for decades. Political parties are after one another driven by vendetta and not by national interest. Pakistan judicial system is ranked 129 out of 142 on the World Justice",10.037533044815063,True,0.11735054850578308,sales tax and indirect taxation
https://www.brecorder.com/trends/gdp-ratio-of-pakistan,Trends - GDP ratio of Pakistan - Business Recorder,,"Tue, 20 Jan 2026 03:19:31 GMT",,tax to GDP ratio Pakistan,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,2.5600271224975586,True,0.1672205626964569,sales tax and indirect taxation
https://www.brecorder.com/news/40403343/pakistan-economy-stabilised-set-for-export-led-growth-pm-shehbaz-at-davos,"DAVOS 26: Pakistan economy stabilised, set for export-led growth: PM - Business Recorder","Prime Minister Shehbaz Sharif on Wednesday said Pakistan’s economy has stabilised after tough reforms and is now firmly positioned for export-led growth, citing sharp improvements in inflation, interest rates, and revenue collection.
Addressing an event at the Pakistan Pavilion on the sidelines of the World Economic Forum’s 56th annual meeting in Davos, the prime minister said key macroeconomic indicators were showing a clear positive trend, reflecting disciplined economic management.
“Our inflation has come down sharply from 30 percent to 5.5 percent, while the policy rate has been reduced from 22.5 percent to 10.5 percent,” he said, calling the progress a result of difficult but necessary reforms.
READ MORE:Trump says US will not use force to acquire Greenland
Shehbaz said Pakistan had achieved macroeconomic stability and was now focused on sustainable growth driven by exports. He noted that IT exports had shown encouraging momentum and currently stood at around $3 billion annually through offshore channels.
While acknowledging challenges in the export sector, the prime minister said the direction was clear.
“Pakistan has to pursue export-led growth,” he said, highlighting reforms in revenue collection as a central pillar of the government’s strategy.
He said the tax system was being fully digitised, leading to an increase in the tax-to-GDP ratio to 10.5 percent from 9 percent a few years ago, terming it a significant milestone.
READ MORE:Finance minister, Visa president discuss innovation in payments sector
Highlighting sectoral opportunities, Shehbaz said agricultural exports had performed well over the past year, while Pakistan was entering the mining and minerals sector. He said agreements had been signed with American and Chinese companies to explore untapped resources in Gilgit-Baltistan, Azad Jammu and Kashmir, Khyber Pakhtunkhwa and Balochistan.
The prime minister said Pakistan was also moving rapidly in emerging fields such as information technology, artificial intelligence and crypto, describing the country’s large youth population as both a challenge and a major opportunity.
He said federal and provincial governments were jointly implementing programmes to equip young people with vocational and technical skills, citing the National Vocational and Technical Training Commission (NAVTTC), whose initiatives undergo third-party audits and international certification to help youth secure employment abroad.
On foreign relations, Shehbaz said Pakistan enjoyed strong economic ties with China and was expanding cooperation with the United States in areas including mining, minerals, counterterrorism and technology.
He also highlighted the government’s push for transparent privatisation, including Pakistan International Airlines, and said further privatisation and outsourcing were planned in airports, power distribution companies and transmission infrastructure.
Referring to the IMF programme, the prime minister said Pakistan had implemented strict conditions “in letter and spirit,” adding that the Fund was now citing Pakistan as a success story among developing countries.
On structural reforms, he said the government had taken politically difficult decisions to shut down loss-making state entities, including Utility Stores Corporation, PASSCO and the Pakistan Public Works Department, resulting in savings of billions of rupees despite resistance from vested interests.
“We are at a point where Pakistan is about to take off,” Shehbaz said, stressing that unity, transparency and sustained reforms were essential to achieving long-term economic growth and prosperity.","Wed, 21 Jan 2026 18:30:39 GMT",,tax to GDP ratio Pakistan,"Prime Minister Shehbaz Sharif says Pakistan is now firmly positioned for export-led growth. He said key macro indicators were showing a clear positive trend, reflecting disciplined disciplined reforms. Shehbaz said Pakistan enjoyed strong economic ties with China and was expanding cooperation with the United States. He said the government had taken politically difficult decisions to shut down loss-making state entities.",2.496387004852295,True,0.4178464412689209,sales tax and indirect taxation
https://www.brecorder.com/news/40403067/imf-lowers-pakistans-growth-outlook,IMF lowers Pakistan’s growth outlook - Business Recorder,"ISLAMABAD: The International Monetary Fund (IMF) has lowered Pakistan’s economic growth outlook, cutting its GDP projection for the current fiscal year to 3.2 percent, down from 3.6 percent estimated in its October 2025 World Economic Outlook.
The Fund in its latest report “World Economic Outlook 2026 update, global economy: steady amid divergent forces”, estimated Pakistan’ GDP growth at three percent in 2025, which is projected to grow to 3.2 percent in the outgoing fiscal year 2026 and 4.1 percent in 2027.
World Bank has projected Pakistan GDP growth to remain at three percent in fiscal year 2025–26 before rising to 3.4 percent in fiscal year 2026–27.
READ MORE:IMF sees 6.5% GDP upside if Pakistan fixes corruption, governance
The National Accounts Committee (NAC) has approved the updated growth of GDP during fiscal year 2024-25 at 3.09 percent. The Committee further estimated that economy has posted a growth of 3.71 percent during first quarter (Q1) of fiscal year 2025-26.
The Fund stated that global growth is projected to remain resilient at 3.3 percent in 2026 and at 3.2 percent in 2027: rates similar to the estimated 3.3 percent outturn in 2025.
The forecast marks a small upward revision for 2026 and no change for 2027 compared with that in the October 2025 WEO. This steady performance on the surface results from the balancing of divergent forces. Headwinds from shifting trade policies are offset by tailwinds from surging investment related to technology, including artificial intelligence (AI), more so in North America and Asia than in other regions, as well as fiscal and monetary support, broadly accommodative financial conditions, and adaptability of the private sector.
Global headline inflation is expected to decline from an estimated 4.1 percent in 2025 to 3.8 percent in 2026 and further to 3.4 percent in 2027.
The inflation projections are also broadly unchanged from those in October and envisage inflation returning to target more gradually in the United States than in other large economies.
Risks to the outlook remain tilted to the downside. Re-evaluation of productivity growth expectations about AI could lead to a decline in investment and trigger an abrupt financial market correction, spreading from AI-linked companies to other segments and eroding household wealth.
Trade tensions could flare up, prolonging uncertainty and weighing more heavily on activity. Domestic political tensions or geopolitical tensions could erupt, introducing new layers of uncertainty and disrupting the global economy through their impact on financial markets, supply chains, and commodity prices.
Larger fiscal deficits and high public debt could put pressure on long-term interest rates and, in turn, on broader financial conditions.
On the upside, activity could be further lifted by AI-related investment and eventually transform into sustainable growth if faster AI adoption translates into strong productivity gains and increased business dynamism. Activity could also be supported by a sustained easing in trade tensions.
Policies to foster stability and sustainably lift medium-term growth prospects require a keen focus on restoring fiscal buffers, preserving price and financial stability, reducing uncertainty, and implementing structural reforms without further delay.
Copyright Business Recorder, 2026","Tue, 20 Jan 2026 01:04:00 GMT",,tax to GDP ratio Pakistan,"The International Monetary Fund (IMF) has lowered Pakistan’s economic growth outlook, cutting its GDP projection for the current fiscal year to 3.2 percent. World Bank has projected Pakistan GDP Risks to the outlook remain tilted to the downside. Re-evaluation of productivity growth expectations about AI could lead to a decline in investment. Trade tensions could flare up, prolonging uncertainty and",2.7689549922943115,True,0.13838210701942444,tax to GDP ratio
https://www.brecorder.com/news/40403644/unlocking-new-sources-of-economic-growth-aurangzeb-spells-out-key-pathways,Unlocking new sources of economic growth: Aurangzeb spells out key pathways - Business Recorder,"DAVOS: Federal Minister for Finance and Revenue, Senator Muhammad Aurangzeb, has underscored the importance of fiscal discipline, productive use of debt and export-led growth as key pathways to unlocking new sources of economic growth, while speaking at a high-level panel discussion on “How Can We Unlock New Sources of Growth? – Weight of Global Debt” held on the sidelines of the World Economic Forum in Davos.
Presenting an emerging markets perspective, Senator Aurangzeb emphasized that debt, in itself, is not inherently negative, provided it is deployed productively.
He noted that for countries like Pakistan, debt must be directed toward investments that generate exportable surplus rather than consumption, enabling sustainable repayment and long-term growth.
READ MORE:Finance minister discusses investment, economic outlook with Saudi counterpart at WEF
He highlighted that emerging economies do not have privilege of reserve currencies and therefore must ensure market efficiency, prudent borrowing and careful management of foreign exchange risks.
The minister stressed that unsustainable debt trajectories are fundamentally a consequence of weak fiscal discipline. He shared that Pakistan has made significant progress by reducing its debt-to-GDP ratio from 75 percent to 70 percent, achieving a primary surplus and restoring fiscal balance through responsible economic management.
He added that inflation in Pakistan has declined sharply from a peak of 38 percent to single digits, while the policy rate has been reduced from over 22 percent to 10.5 percent, placing the country on the favourable side of the interest rate cycle.
Senator Aurangzeb highlighted ongoing debt management reforms, including liability management operations, debt buybacks and efforts to create value in domestic markets.
He also announced that Pakistan is set to enter the Chinese capital market with its inaugural Panda bond, structured as a green bond, reflecting the country’s commitment to sustainable and climate-resilient financing.
Addressing the issue of climate change, the Minister stated that for Pakistan and other vulnerable emerging economies, climate risks are real, recurring and economically disruptive.
He noted that building fiscal buffers has enabled Pakistan to respond to recent floods through domestic resources rather than international emergency appeals, underscoring the importance of fiscal resilience in the face of exogenous shocks.
He further highlighted the role of public-private partnerships and capital markets in financing adaptation and development projects, citing the successful closure of Pakistan’s largest-ever syndicated financing of approximately USD 3.6 billion for a major copper mining project.
The project, he noted, is expected to generate around USD 2.8 billion in exports annually from 2028, significantly strengthening Pakistan’s export base and supporting global energy transition needs.
Responding to a question from the audience on technology funding and the new economy, Senator Aurangzeb emphasized Pakistan’s strong potential in IT, freelancing and digital services, noting recent growth in IT exports and ongoing investments in skills development, blockchain and emerging technologies.
He reiterated that access to funding is not the core challenge; rather, capacity building, prioritization and effective execution are critical to translating opportunities into sustainable growth.
Concluding his remarks, the Minister stated that responsible fiscal management, strategic use of debt, investment in the new economy and climate resilience are central to Pakistan’s growth strategy, adding that “it is not about the availability of debt or funding, but how wisely and effectively it is steered to create long-term economic value.”
The panel discussion was hosted and moderated by Joumanna Bercetche, Anchor, Bloomberg News, and featured leading global financial and investment figures, including Anne Walsh, Managing Partner and Chief Investment Officer of Guggenheim Partners; Ronald P. O’Hanley, Chairman and Chief Executive Officer of State Street; and Jennifer Johnson, Chief Executive Officer of Franklin Templeton.
Copyright Business Recorder, 2026","Fri, 23 Jan 2026 00:48:09 GMT",,tax to GDP ratio Pakistan,"Federal Minister for Finance and Revenue, Senator Muhammad Aurangzeb, has underscored the importance of fiscal discipline, productive use of debt and export-led growth. He The panel discussion was hosted and moderated by Joumanna Bercetche, Anchor, Bloomberg News. It featured leading global financial and investment figures, including CEOs of Guggenheim Partners, State Street and Franklin Templeton will attend the event.",2.7314858436584473,True,0.2932514250278473,tax revenue collection
https://www.brecorder.com/news/40403340/pm-shehbaz-briefs-imfs-georgieva-on-pakistans-improving-macroeconomic-indicators,DAVOS 26: PM briefs IMF’s Georgieva on Pakistan’s ‘improving’ macroeconomic indicators - Business Recorder,"Prime Minister Shehbaz Sharif on Wednesday briefed IMF Managing Director Kristalina Georgieva on Pakistan’s “improving macro-economic indicators, stabilisation efforts, and progress on structural reforms”.
The premier underscored Pakistan’s commitment to fiscal discipline, revenue mobilisation, and sustainable growth as he met with IMF chief in Davos, Switzerland on the sidelines of the 56th Annual Meeting of the World Economic Forum, as per a statement from the Prime Minister’s House (PMO).
“The prime minister apprised the managing director of Pakistan’s improving macro-economic indicators, stabilisation efforts, and progress on structural reforms,” the PMO statement read.
Also read:IMF programme widely perceived as ‘anti-growth’: Dar
“The IMF managing director acknowledged and appreciated Pakistan’s reform efforts and emphasised the importance of maintaining reform momentum to ensure long-term economic resilience.
“Both sides exchanged views on the global economic outlook, challenges faced by emerging economies, and the importance of multilateral support in safeguarding economic stability,” the PMO said.
The meeting was also attended by Deputy Prime Minister and Foreign Minister Ishaq Dar, Federal Minister for Economic Affairs Ahad Khan Cheema, Federal Minister for Finance and Revenue Muhammad Aurangzeb and Federal Minister for Information and Broadcasting Attaullah Tarar.
The IMF has lowered Pakistan’s economic growthoutlook, cutting its gross domestic product (GDP) projection for the current fiscal year to 3.2%, down from 3.6% estimated in its October 2025 World Economic Outlook.
The Fund in its latest report “World Economic Outlook 2026 update, global economy: steady amid divergent forces”, estimated Pakistan’ GDP growth at three percent in 2025, which is projected to grow to 3.2% in the outgoing fiscal year 2026 and 4.1 percent in 2027.
The World Bank has projected Pakistan GDP growth to remain at 3% in fiscal year 2025–26 before rising to 3.4% in fiscal year 2026–27.","Wed, 21 Jan 2026 17:19:01 GMT",,tax to GDP ratio Pakistan,"Prime Minister Shehbaz Sharif briefed IMF Managing Director Kristalina Georgieva on Pakistan’s “improving macro-economic indicators, stabilisation efforts, and progress on structural The New York City Marathon is one of the biggest events of the year so far. The event is expected to be followed by the U.S. Open and the World Series.",3.005584955215454,True,0.14670495688915253,tax revenue collection
https://www.brecorder.com/news/40402892/fbr-set-to-deploy-tts-to-many-high-risk-sectors,FBR set to deploy Track & Trace System to many ‘high-risk’ sectors - Business Recorder,,"Mon, 19 Jan 2026 00:15:31 GMT",,FBR revenue collection,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,2.5589001178741455,True,0.25655442476272583,tax evasion and enforcement
https://www.brecorder.com/news/40403410/ltba-points-out-collective-systematic-failures-in-fbr,LTBA points out collective ‘systematic failures’ in FBR - Business Recorder,,"Wed, 21 Jan 2026 23:57:01 GMT",,FBR revenue collection,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.894024133682251,True,0.38460591435432434,tax revenue collection
https://www.brecorder.com/news/40403764/matters-related-to-ito-section-4-c-federation-fbr-have-filed-several-icas-before-ihc-fcc-told,"Matters related to ITO Section 4-C: Federation, FBR have filed several ICAs before IHC, FCC told - Business Recorder","ISLAMABAD: The Federal Constitutional Court (FCC) was told on Friday that the federation and the Federal Board of Revenue (FBR), aggrieved by a series of judgments passed by the Islamabad High Court (IHC) concerning matters related to Section 4-C of the Income Tax Ordinance, 2001, had filed several intra-court appeals before the IHC.
A three-judge bench of the FCC, headed by Chief Justice Amin-ud-Din Khan heard the FBR appeals against the judgments of Sindh, Lahore and Islamabad high courts regarding levy of Super Tax under Section 4C, inserted in the Income Tax Ordinance (ITO), 2001 through Finance Act 2022.
Hafiz Ahsaan Ahmad Khokhar, representing the Secretary Revenue Division, informed the bench that the preliminary objections raised by the taxpayer-respondents regarding the alleged non-maintainability of the petitions were wholly misconceived, legally untenable, and contrary to the constitutional and statutory framework.
READ MORE:FCC urged to rule: Charge applicable to each ‘block’ must be governed by law in force on last day
He said these appeals were subsequently transferred, under Article 186A of the Constitution to the constitutional jurisdiction of the Supreme Court and are presently pending before the FCC for final adjudication due to 27th Constitutional Amendment.
During the proceedings, Khokhar, providing further clarification on the constitutional framework, emphasised that Article 99 of the Constitution explicitly governs the conduct of executive business within the federation.
He pointed out that the article mandates that such business must be transacted in strict adherence to the Rules of Business, 1973, underscoring the importance of procedural compliance in the functioning of the executive branch.
The counsel for Secretary Revenue Division argued that under Rule 14A read with Entry 35 of Schedule II of the Rules of Business, 1973, the Revenue Division and FBR are exclusively entrusted with matters pertaining to taxation, fiscal policy, administration of tax laws, and the protection of federal revenue.
Consequently, the institution, prosecution, and defence of revenue litigation fall squarely within the constitutional domain of the Revenue Division and constitute acts of the federation carried out through a constitutionally designated Division.
He further said that in light of the amendments made to the Rules of Business, 1973, consultation with the Ministry of Law and Justice or the Office of the Attorney General is no longer mandatory for the institution or defence of revenue matters.
He further clarified that the subject of revenue litigation is explicitly excluded from Entry 21 of Schedule II of the Rules of Business. This exclusion, he argued, grants the Revenue Division and the FBR full autonomy in handling fiscal and taxation matters. As such, the FBR is not required to seek prior approval or consultation for such litigation, thereby affirming its independent authority in these matters.
He emphasized that once a subject is allocated to a Division under the Allocation of Business, Rules 3 and 4 of the Rules of Business, 1973, fully empower that Division to take all necessary executive actions to give effect to the law governing that subject, including the initiation, prosecution, and defence of legal proceedings. Any insistence on mandatory consultation, he argued, would defeat the very object of the amendments and undermine the efficiency of fiscal governance.
Khokhar further submitted that the FBR, being an attached department of the Revenue Division as per schedule 3 of the Rules of Business, 1973, derives its authority from both the constitutional framework and statutory enactments, including the Federal Board of Revenue Act, 2007, therefore all acts performed by the FBR and its officers in revenue litigation, constitute acts of the federation itself and enjoy a strong presumption of legality.
He maintained that the superior courts have consistently held that where executive authority flows directly from the Constitution and the Rules of Business, objections based on an alleged lack of authorization are devoid of merit unless a clear statutory prohibition is demonstrated.
He stressed that fiscal governance and the protection of public revenue cannot be frustrated by hyper-technical objections, particularly when statutory remedies are pursued in good faith within the constitutional framework.
Khokhar will make his further submissions on Monday.
Earlier, Asma Hamid argued that the taxpayers in their respective high courts have made the relevant Inland Revenue Commissioners party, but when they filed petitions before the IHC, then they also cited federation as respondent.
Justice Amin remarked that the taxpayer lawyers’ main objection is that the federation only can file appeals when the federal legislation is set aside by the High Courts, and not in case of issuance of notices.
Asma responded that all the high courts upheld the vires of Sections 4B and 4C, adding that the Supreme Court bench in its March 2023 leave grant order directed the taxpayers to pay 50 percent amount regarding the Super Tax.
Asma, continuing her arguments, noted that no taxpayer had raised any challenge against the Sindh High Court’s ruling, which had declared Section 4C of the Income Tax Ordinance intra vires and applicable from 2022. She concluded by stating that she would present her final submissions on Monday.
Copyright Business Recorder, 2026","Fri, 23 Jan 2026 23:57:47 GMT",,FBR revenue collection,"The Federal Constitutional Court was told on Friday that the federation and the Federal Board of Revenue (FBR) had filed several intra-court appeals. Khokhar argued that the institution, prosecution, and defence of revenue litigation fall squarely within the constitutional domain of the Revenue Division.",4.855570077896118,True,0.3545515239238739,tax revenue collection
https://www.brecorder.com/news/40403051/shipping-lines-charging-rates-as-per-official-exchange-rates-fbr,Shipping lines charging rates as per official exchange rates: FBR - Business Recorder,,"Tue, 20 Jan 2026 01:04:00 GMT",,FBR revenue collection,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.689410924911499,True,0.17201709747314453,sales tax and indirect taxation
