article link,article headline,article text,date,author,summary,summary_time_seconds
https://www.dawn.com/news/1968330,FBR flags tax evasion in Sindh solar imports - Dawn,,"Thu, 22 Jan 2026 01:39:00 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.9193229675292969
https://www.dawn.com/news/1968072/rain-likely-in-many-sindh-cities-towns,"Rain likely in many Sindh cities, towns - Dawn","KARACHI: A westerly wave is likely to grip the province from Thursday (tomorrow), bringing about rain in many cities and towns, the Met department said. According to the department’s daily advisory, the rain/thunderstorm of light to moderate intensity was likely in Karachi division, Jamshoro, Dadu, Thatta, Sujawal, Hyderabad, Tando Muhammad Khan, Tando Allahyar, Sanghar, Mirpurkhas, Umerkot, Naushahro Feroze, Shaheed Benazirabad, Khairpur, Sukkur, Ghotki, Jacobabad, Larkana, Kambar Shahdadkot and Shikarpur districts.
Karachi’s temperature is expected to drop from Wednesday (today)  under the influence of the westerly wave.
The minimum temperature recorded in the metropolis on Tuesday was 13.5 degrees Celsius. The temperature is likely to range between 12 and 14 degrees Celsius on Wednesday.
Published in Dawn, January 21st, 2026","Wed, 21 Jan 2026 01:37:56 GMT",,A westerly wave is likely to grip the province from Thursday (tomorrow) Rain/thunderstorm of light to moderate intensity is likely in Karachi division.,0.7803740501403809
https://www.dawn.com/news/1968357/t-bill-yields-cut-to-single-digits-after-four-years,T-bill yields cut to single digits after four years - Dawn,"KARACHI: The government on Wednesday reduced the cut-off yields on treasury bills by up to 31 basis points, bringing the yields for most tenors below 10 per cent for the first time in over four years.
The yields on three-month and six-month T-bills have now returned to single-digit levels, a milestone last seen in November 2021. The 12-month tenor cleared marginally higher at 10pc.
The returns on T-bills generally align closely with the State Bank of Pakistan’s policyrate.Several surveys and analysts suggest that the central bank could reduce the benchmark interest rate by 50 to 100 basis points in the next Monetary Policy Committee meeting.
The reductions in the T-bill rates were as follows: 31bps for the one-month paper, bringing the yield to 9.8pc; 26bps for the three-month tenor, down to 9.89pc; 22bps for the six-month bills, bringing them to 9.94pc; and 16bps for the 12-month papers at 10pc.
Hopes for further softening of monetary policy amplified
In the previous auction, held on Jan 7, the government had also reduced cut-off yields by 29bps for the one-month T-bills, 34bps for the three-month papers, 32bps for the six-month bills, and 33bps for the 12-month tenor.
A report from Arif Habib Ltd noted that the return of single-digit cut-off yields marked the first such occurrence in four years, with the last instance being in November 2021.
The government raised a total of Rs725.7bn in Wednesday’s auction, against a total of Rs1.85 trillion in bids. However, more funds were raised through non-competitive bids than through competitive bids. The government secured Rs293.2bn through competitive bids, with Rs432.5bn raised via non-competitive bids. Of the Rs293.2bn raised through competitive bids, Rs236bn was allocated to the 12-month T-bills.
The double reduction in T-bill yields, along with a 70bps cut in the return on Pakistan Investment Bonds (PIBs), is seen as a clear signal in the financial sector that the central bank may soon cut interest rates.
The SBP will announce its monetary policy on Jan 26. Given the significant drop in inflation, the financial sector is anticipating a potential rate cut of up to 100bps.
“The downward movement reflects cooling inflation expectations, improving macroeconomic stability, and a decidedly dovish monetary policy outlook amid expectations of continued easing by the State Bank,” said the AHL report.
In the last auction, the government raised Rs979.3bn through T-bills and Rs108bn through PIBs, totalling Rs1.087tr.
Compared to last year, government borrowing has accelerated despite a stronger growth in revenue collection during the first half of the current fiscal year. The revenue collected during this period was 10 per cent higher than in the same period of the previous fiscal year. However, the Federal Board of Revenue faced a Rs331bn shortfall against the projected target during July-December 2025-26.
Published in Dawn, January 22nd, 2026","Thu, 22 Jan 2026 02:58:01 GMT",,"The yields on three-month and six-month T-bills have now returned to single-digit levels, a milestone last seen in November 2021. Several surveys and analysts suggest that the central bank could reduce the benchmark interest rate by In the last auction, the government raised Rs979.3bn through T-bills and Rs108bn through PIBs, totalling Rs1.087tr. announce its monetary policy on Jan 26.",2.1600100994110107
https://www.dawn.com/news/1968353/equities-falter-after-record-setting-spell-at-psx,Equities falter after record-setting spell at PSX - Dawn,"
KARACHI: Having scaled a new peak above the 188,000-point barrier overnight, the bears snapped the record-setting spell at the Pakistan Stock Exchange (PSX) on Wednesday as investors indulged in profit-taking, forcing the benchmark KSE-100 index to close in the red amid extreme volatility in the absence of any positive triggers.
According to Topline Securities Ltd, the local bourse witnessed a bout of profit booking as investors sought to maximise recent gains, leading to a volatile trading session. The benchmark index swung sharply, posting an intraday high of 901 points, a low of 1,994 points, and eventually settling at 187,033.27, down 1,588.51 points or 0.84 per cent, as cautious sentiment dominated.
Heavyweights such as Pakistan Petroleum, Sazgar Engineering Works, and National Bank of Pakistan provided some respite, collectively contributing 135 points to the index. However, selling pressure in Meezan Bank, Engro Holdings, MCB Bank, Habib Bank, and Systems Ltd outweighed these gains, cumulatively shaving 792 points off the benchmark.
Despite a bearish trend, market participation remained robust, with total volume rising 8.14pc to 1.32 billion shares, and the traded value increasing 8.89pc to Rs69.5bn. K-Electric topped the volume chart with 263 million shares.
Arif Habib Ltd (AHL) noted that, despite opening on a strong footing, the PSX came under selling pressure, with profit-takers capitalising on elevated levels, dragging the index into negative territory by the close.
On the corporate side, Lotte Chemical Pakistan Ltd announced an interim cash dividend of Rs5 per share for the year ending Dec 31, 2025.
On the macro front, Fitch Ratings affirmed Pakistan’s long-term sovereign rating at ‘B-’ and assigned a Recovery Rating of ‘RR4’, following the removal of the ratings from ‘Under Criteria Observation’. The action reflects the application of Fitch’s new Sovereign Rating Criteria, effective Sept­ember 2025.
Analysts expect the market to consolidate within the 185,000-190,000 range before resuming any further upside, with 185,000 acting as the first key support level.
Published in Dawn, January 22nd, 2026","Thu, 22 Jan 2026 02:41:28 GMT",,"The benchmark index swung sharply, posting an intraday high of 901 points, a low of 1,994 points, and eventually settling at 187,033.27, down 1,588.51 points or 0.84 per 185,000 acting as the first key support level. 185,000-190,000 range before resuming any further upside, say analysts.",1.8987839221954346
https://www.dawn.com/news/1968187,Arctic posturing - Dawn,,"Wed, 21 Jan 2026 01:38:31 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1533119678497314
https://www.dawn.com/news/1967616,40 samples test positive for poliovirus in December - Dawn,"ISLAMABAD: As many as 40 environmental samples from all four provinces and the federal capital were found positive during the month of December.
According to an official of the polio laboratory located at the National Institute of Health (NIH), Islamabad, as many as 127 sewage samples from 87 districts were tested for the presence of poliovirus in December 2025. Of these, 87 samples tested negative, while 40 samples were found positive for poliovirus.
“As many as 23 samples were collected from Balochistan, of which 21 were found negative and two were found positive. A total of 34 samples were collected from Khyber Pakhtunkhwa, of which 26 were negative and eight were found positive. From Punjab, 31 samples were collected, of which 25 were negative and six were positive. In Sindh, six samples were found negative and 23 were positive. In Islamabad, one out of five samples was found positive. However, five samples collected from Azad Jammu and Kashmir and Gilgit-Baltistan were found negative,” the official said.
Replying to a question, the official explained that if the virus causing the crippling disease was found in sewage, the sample was termed positive, while the paralysis of a child caused by the virus was recorded as a positive case. “A sewage water sample from an area is a basic parameter used to determine whether polio vaccination campaigns are being carried out successfully. After detection of positive samples, polio campaigns are immediately launched to eradicate the virus from the area,” he said.
“A polio case can be reported in any city due to the frequent movement of people from one city to another, but the presence of the virus in sewage water means that a vaccination campaign in the area did not meet its target. The presence of the virus in sewage water also indicates that the immunity level of local children has fallen and that they are at risk of the disease,” the official explained.
According to a statement, in 2025 the National Emergency Operations Centre for Polio Eradication, led by the government of Pakistan, conducted six vaccination campaigns, including five nationwide and one subnational drive, reaching over 45 million children.
As part of this roadmap, the first nationwide polio campaign of 2026 will be conducted from February 2 to 8 in all four provinces, Azad Jammu and Kashmir, Gilgit-Baltistan and Islamabad, aiming to vaccinate over 45 million children under the age of five.
“To further strengthen immunity, the government of Pakistan continues to provide free routine immunisation services for all children up to two years of age. Together, routine immunisation and repeated polio vaccination provide the strongest and most reliable protection against polio and other preventable diseases.
Parents and caregivers are strongly urged to en­­sure that children under five re­­ceive polio drops during every vaccination campaign to protect them from lifelong disability,” it stated.
Published in Dawn, January 18th, 2026","Sun, 18 Jan 2026 02:06:35 GMT",,"As many as 127 sewage samples from 87 districts were tested for the presence of poliovirus in December 2025. Of these, 87 samples tested negative, while 40 samples were found positive. In Islamabad, one out of five samples was found The first nationwide polio campaign of 2026 will be conducted from February 2 to 8 in all four provinces, Azad Jammu and Kashmir, Gilgit-Baltistan and Islamabad. Over 45 million children under the age of five will be",2.306575059890747
https://www.dawn.com/news/1967851,We want a ‘new Pakistan’ which is democratic: Achakzai addresses lawyers in Karachi - Dawn,,"Mon, 19 Jan 2026 10:47:52 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1694221496582031
https://www.dawn.com/news/1968319/pharmacists-slam-govts-hiring-policy,Pharmacists slam govt’s hiring policy - Dawn,"QUETTA: The Unemployed Pharmacists’ Action Committee, Balochistan, has rejected the government’s decision to announce only a limited number of vacancies for more than 2,000 unemployed pharmacists, terming it “equivalent to offering a pinch of cumin to a camel”.
Addressing a press conference at the Quetta Press Club on Wednesday, UPAC General Secretary Qasim Aziz Mengal said the decision was unacceptable and demanded the creation of more posts along with transparent, merit-based recruitment.
He alleged that the appointment of pharmacists to BPS-17 posts through walk-in interviews was a non-transparent move, aimed at inducting favoured and recommended individuals. He claimed that merit did not exist in the health department and that the recruitment process lacked transparency.
He raised concerns over the absence and non-appointment of pharmacy departments in private hospitals. He also criticised the recent notification issued by the health department advertising doctors’ and pharmacists’ posts on a contract basis.
Published in Dawn, January 22nd, 2026","Thu, 22 Jan 2026 01:39:00 GMT",,"The Unemployed Pharmacists’ Association, Balochistan, said the move was ‘unacceptable’ and ‘non-transparent’",0.7910399436950684
https://www.dawn.com/news/1968323/imaan-hadi-get-bail-in-byc-protest-case,"Imaan, Hadi get bail in BYC protest case - Dawn",,"Thu, 22 Jan 2026 01:39:00 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1945819854736328
https://www.dawn.com/news/1968220,"Export-led growth is the way forward for Pakistan, says PM Shehbaz - Dawn",,"Wed, 21 Jan 2026 09:03:26 GMT",,In this article we look at some of the most important figures in the history of medicine. We also look at the role of medicine in the creation of the modern world. This article is based on a report by the International Institute of Public Health Research.,1.1546738147735596
